Datetime,Teclas_Pressionadas,Cliques_Esquerdos,Cliques_Direitos
2026-04-15 19:28:20,0,1,0
2026-04-15 19:28:30,9,5,0
2026-04-15 19:28:40,4,2,0
2026-04-15 19:28:50,0,0,0
2026-04-15 19:29:00,0,3,0
2026-04-15 19:29:10,0,0,0
2026-04-15 19:29:20,0,0,0
2026-04-15 19:29:30,11,1,0
2026-04-15 19:29:40,50,0,0
2026-04-15 19:29:50,2,0,0
2026-04-15 19:30:00,0,0,0
2026-04-15 19:30:10,0,0,0
2026-04-15 19:30:20,0,0,0
2026-04-15 19:30:30,0,0,0
2026-04-15 19:30:40,0,1,0
2026-04-15 19:30:50,0,1,0
2026-04-15 19:31:00,15,1,0
2026-04-15 19:31:10,35,0,0
2026-04-15 19:31:20,0,0,0
2026-04-15 19:31:30,0,0,0
2026-04-15 19:31:40,0,0,0
2026-04-15 19:31:50,0,0,0
2026-04-15 19:32:00,0,1,0
2026-04-15 19:32:10,0,1,0
2026-04-15 19:32:20,0,3,0
2026-04-15 19:32:30,0,3,0
2026-04-15 19:32:40,0,2,0
2026-04-15 19:32:50,0,0,0
2026-04-15 19:33:00,0,0,0
2026-04-15 19:33:10,2,1,0
2026-04-15 19:33:20,40,0,0
2026-04-15 19:33:30,0,0,0
2026-04-15 19:33:40,0,0,0
2026-04-15 19:33:50,0,0,0
2026-04-15 19:34:00,0,0,0
2026-04-15 19:34:10,0,0,0
2026-04-15 19:34:20,0,0,0
2026-04-15 19:34:30,0,1,0
2026-04-15 19:34:40,0,1,0
2026-04-15 19:34:50,0,4,0
2026-04-15 19:35:00,0,0,0
2026-04-15 19:35:10,0,2,0
2026-04-15 19:35:20,0,2,0
2026-04-15 19:35:30,1,4,0
