Datetime,Timestamp,Sensor,Acao,Distancia_Pixels
2026-04-16 13:20:59.179,1776342059.1798377,Rato,Click_Press_left,0
2026-04-16 13:20:59.691,1776342059.691832,Rato,Click_Press_left,44
2026-04-16 13:21:00.695,1776342060.6955602,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:00.780,1776342060.7807212,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:03.450,1776342063.4508436,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:03.523,1776342063.5238197,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:03.533,1776342063.533834,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:03.619,1776342063.6198213,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:03.687,1776342063.6875234,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:03.756,1776342063.756293,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:03.777,1776342063.7774181,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:03.857,1776342063.857331,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:03.889,1776342063.889422,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:03.980,1776342063.9803946,Teclado,Key_Space_Press,0
2026-04-16 13:21:03.985,1776342063.9854064,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:04.118,1776342064.118909,Teclado,Key_Space_Release,0
2026-04-16 13:21:05.825,1776342065.8258786,Teclado,Key_WASD_Press,0
2026-04-16 13:21:05.941,1776342065.9417424,Teclado,Key_WASD_Release,0
2026-04-16 13:21:06.031,1776342066.0319014,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:06.116,1776342066.1167476,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:06.131,1776342066.1319947,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:06.206,1776342066.206326,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:06.216,1776342066.21683,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:06.291,1776342066.291863,Teclado,Key_WASD_Press,0
2026-04-16 13:21:06.323,1776342066.3238711,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:06.409,1776342066.4097035,Teclado,Key_Space_Press,0
2026-04-16 13:21:06.414,1776342066.4147716,Teclado,Key_WASD_Release,0
2026-04-16 13:21:06.504,1776342066.504795,Teclado,Key_Space_Release,0
2026-04-16 13:21:06.569,1776342066.5691652,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:06.650,1776342066.650305,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:06.698,1776342066.6985197,Teclado,Key_WASD_Press,0
2026-04-16 13:21:06.811,1776342066.8115356,Teclado,Key_WASD_Release,0
2026-04-16 13:21:07.119,1776342067.11935,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:07.202,1776342067.202866,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:07.235,1776342067.2359529,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:07.315,1776342067.3158376,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:07.389,1776342067.3890975,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:07.484,1776342067.484219,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:07.607,1776342067.6076717,Teclado,Key_WASD_Press,0
2026-04-16 13:21:07.655,1776342067.6558468,Teclado,Key_WASD_Release,0
2026-04-16 13:21:08.046,1776342068.0461254,Teclado,Key_Delete_Press,0
2026-04-16 13:21:08.114,1776342068.1144338,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:08.150,1776342068.1506586,Teclado,Key_Delete_Release,0
2026-04-16 13:21:08.268,1776342068.268222,Teclado,Key_Space_Press,0
2026-04-16 13:21:08.278,1776342068.2787287,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:08.407,1776342068.4070108,Teclado,Key_Space_Release,0
2026-04-16 13:21:08.434,1776342068.4348164,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:08.545,1776342068.5456853,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:08.570,1776342068.5703447,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:08.665,1776342068.6653883,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:08.708,1776342068.7082515,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:08.788,1776342068.7880328,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:09.451,1776342069.4519777,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:09.526,1776342069.52657,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:09.585,1776342069.5859377,Teclado,Key_AlphaNumeric_Press,0
2026-04-16 13:21:09.687,1776342069.6870246,Teclado,Key_AlphaNumeric_Release,0
2026-04-16 13:21:10.404,1776342070.4040012,Teclado,Key_WASD_Press,0
2026-04-16 13:21:10.536,1776342070.535892,Teclado,Key_WASD_Release,0
2026-04-16 13:21:10.836,1776342070.8364172,Teclado,Key_Delete_Press,0
2026-04-16 13:21:10.932,1776342070.9324925,Teclado,Key_Delete_Release,0
2026-04-16 13:21:11.134,1776342071.1348925,Teclado,Key_Delete_Press,0
2026-04-16 13:21:11.224,1776342071.2247186,Teclado,Key_Delete_Release,0
2026-04-16 13:21:11.334,1776342071.334734,Teclado,Key_Delete_Press,0
2026-04-16 13:21:11.429,1776342071.4292686,Teclado,Key_Delete_Release,0
2026-04-16 13:21:11.513,1776342071.513458,Teclado,Key_Delete_Press,0
2026-04-16 13:21:11.608,1776342071.6083672,Teclado,Key_Delete_Release,0
2026-04-16 13:21:11.681,1776342071.6815732,Teclado,Key_Delete_Press,0
2026-04-16 13:21:11.782,1776342071.7823927,Teclado,Key_Delete_Release,0
2026-04-16 13:21:11.870,1776342071.8701315,Teclado,Key_Delete_Press,0
