text,label,context
Key_Delete_Press Click_Press_right Key_AlphaNumeric_Press Key_Space_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Space_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_WASD_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Space_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_Space_Press Click_Press_left Key_AlphaNumeric_Press Key_Space_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Click_Press_right Key_AlphaNumeric_Press Key_Space_Press Key_Arrow_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Space_Press,Fadiga,Trabalhar
Click_Press_right Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Delete_Press,Fadiga,Ler
Key_Delete_Press Key_Arrow_Press Key_AlphaNumeric_Press Key_Delete_Press Key_Space_Press Key_AlphaNumeric_Press Key_Delete_Press Key_Space_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_WASD_Press Key_AlphaNumeric_Press Key_Delete_Press Key_WASD_Press Key_Delete_Press Key_Delete_Press Key_Space_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Space_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Arrow_Press Key_Delete_Press Key_AlphaNumeric_Press Key_Arrow_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Space_Press Key_Arrow_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_WASD_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_WASD_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Space_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Click_Press_left Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_WASD_Press Key_Space_Press Key_AlphaNumeric_Press Key_Space_Press Key_Delete_Press Key_AlphaNumeric_Press Key_WASD_Press Key_Delete_Press Key_WASD_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_WASD_Press Key_AlphaNumeric_Press Key_Space_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Arrow_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Click_Press_right Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Space_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_WASD_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_WASD_Press Key_WASD_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Arrow_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_WASD_Press Key_Space_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_WASD_Press Click_Press_left Key_AlphaNumeric_Press Key_Space_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_WASD_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_WASD_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Space_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Space_Press Key_AlphaNumeric_Press,Stress,Trabalhar
Click_Press_right Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_right Key_Space_Press Click_Press_right Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Click_Press_right Click_Press_right Key_WASD_Press Click_Press_left Click_Press_left Key_WASD_Press Click_Press_left Click_Press_left Key_Space_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Click_Press_left Click_Press_left Key_WASD_Press Key_WASD_Press Click_Press_left Key_Space_Press Key_Space_Press Key_Space_Press Click_Press_left Key_Space_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Click_Press_right Click_Press_left Key_WASD_Press Key_Space_Press Click_Press_left Key_WASD_Press Click_Press_left Key_WASD_Press Click_Press_left Click_Press_right Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_AlphaNumeric_Press Key_WASD_Press Key_WASD_Press Key_Space_Press Key_Space_Press Click_Press_left Click_Press_left Click_Press_left Key_WASD_Press Click_Press_left Key_AlphaNumeric_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_Space_Press Key_Space_Press Click_Press_right Key_WASD_Press Click_Press_right Key_WASD_Press Key_Space_Press Click_Press_left Click_Press_right Click_Press_right Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_Space_Press Key_WASD_Press Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_Space_Press Key_WASD_Press Click_Press_right Click_Press_right Click_Press_left Key_WASD_Press Key_Space_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_AlphaNumeric_Press Click_Press_right Key_WASD_Press Key_Space_Press Key_WASD_Press Key_WASD_Press Click_Press_left Click_Press_left Key_WASD_Press Key_WASD_Press Key_Space_Press Key_WASD_Press Click_Press_right Key_Space_Press Key_AlphaNumeric_Press Click_Press_right Key_AlphaNumeric_Press Key_WASD_Press Click_Press_right Click_Press_left Click_Press_right Click_Press_right Click_Press_left Key_WASD_Press Key_WASD_Press Click_Press_left Click_Press_right Key_Space_Press Key_WASD_Press Key_Space_Press Key_WASD_Press Click_Press_right Click_Press_left Key_WASD_Press Click_Press_right Key_Space_Press Key_WASD_Press Key_WASD_Press Key_Space_Press Key_AlphaNumeric_Press Key_WASD_Press Key_WASD_Press Key_Space_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Click_Press_right Key_WASD_Press Key_Space_Press Key_AlphaNumeric_Press Key_Space_Press Key_WASD_Press Key_Space_Press Key_AlphaNumeric_Press Click_Press_left Key_WASD_Press Key_AlphaNumeric_Press Click_Press_right Key_WASD_Press Key_AlphaNumeric_Press Key_WASD_Press Click_Press_right Key_WASD_Press Click_Press_right Key_WASD_Press Key_Space_Press Key_WASD_Press Click_Press_right Click_Press_right Click_Press_left Click_Press_right Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Click_Press_right Click_Press_right Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_Space_Press Click_Press_left Key_WASD_Press Key_WASD_Press Click_Press_left Key_AlphaNumeric_Press Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Click_Press_right Key_WASD_Press Click_Press_left Click_Press_right Key_Space_Press Click_Press_left Key_WASD_Press Key_Space_Press Key_AlphaNumeric_Press Click_Press_left Click_Press_left Click_Press_right Key_WASD_Press Key_WASD_Press Key_Space_Press Click_Press_left Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_right Click_Press_left Click_Press_right Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_Space_Press Click_Press_right Key_WASD_Press Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_right Click_Press_right Key_Space_Press Key_WASD_Press Key_WASD_Press Key_Space_Press Key_WASD_Press Click_Press_left Key_AlphaNumeric_Press Key_WASD_Press Key_WASD_Press Click_Press_left Click_Press_right Click_Press_left Click_Press_left Key_Space_Press Key_WASD_Press Click_Press_left Click_Press_left Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_right Key_Space_Press Key_Space_Press Click_Press_right Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_AlphaNumeric_Press Key_WASD_Press Key_AlphaNumeric_Press Key_WASD_Press Key_Space_Press Key_AlphaNumeric_Press Key_Space_Press Click_Press_right Click_Press_left Key_WASD_Press Click_Press_left Key_WASD_Press Key_Space_Press Key_WASD_Press Key_WASD_Press Key_Space_Press Key_WASD_Press,Normal,Jogar
Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Delete_Press Key_Arrow_Press Key_Arrow_Press Key_Delete_Press Key_Arrow_Press Click_Press_right Key_Delete_Press Key_Space_Press Click_Press_right Key_AlphaNumeric_Press Key_Arrow_Press Click_Press_left Click_Press_right Key_Space_Press Key_Space_Press Key_Delete_Press Key_Arrow_Press Key_Space_Press Key_Delete_Press Click_Press_left Key_Arrow_Press Click_Press_left Key_Arrow_Press Click_Press_right Key_Arrow_Press Key_Arrow_Press Key_Delete_Press Key_Space_Press Key_Arrow_Press Click_Press_right Key_AlphaNumeric_Press Click_Press_left Key_Arrow_Press,Stress,Ler
Key_AlphaNumeric_Press Click_Press_left Click_Press_right Click_Press_right Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Key_Arrow_Press Click_Press_right,Normal,Ler
Key_Space_Press Key_Arrow_Press Key_Space_Press Key_Delete_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Key_WASD_Press Key_WASD_Press Key_Arrow_Press Key_Delete_Press Key_Space_Press Key_AlphaNumeric_Press Key_Arrow_Press Key_Delete_Press Key_Space_Press Key_Space_Press Key_AlphaNumeric_Press Key_Delete_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Space_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Space_Press Key_AlphaNumeric_Press Key_Space_Press Key_Delete_Press Key_AlphaNumeric_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_Delete_Press Key_AlphaNumeric_Press Key_Space_Press Key_Space_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Click_Press_right Key_WASD_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_Delete_Press Click_Press_left Key_AlphaNumeric_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Click_Press_right Key_AlphaNumeric_Press,Fadiga,Trabalhar
Key_Space_Press Click_Press_left Click_Press_left Click_Press_right Key_Delete_Press Click_Press_left Key_Delete_Press Click_Press_left Click_Press_left Key_Arrow_Press Key_AlphaNumeric_Press Click_Press_right Key_AlphaNumeric_Press Click_Press_left Key_Space_Press Key_Space_Press Click_Press_left Click_Press_right Click_Press_right Click_Press_left Click_Press_left Key_Space_Press Key_Arrow_Press,Fadiga,Lazer
Click_Press_right Click_Press_left Key_Delete_Press Click_Press_left Key_Delete_Press Click_Press_right Click_Press_left Key_Space_Press Key_AlphaNumeric_Press Key_AlphaNumeric_Press Click_Press_left Key_AlphaNumeric_Press Click_Press_left Click_Press_left Key_Delete_Press Key_WASD_Press Key_Space_Press Click_Press_left Click_Press_left Key_Delete_Press Key_Arrow_Press Click_Press_left Key_Arrow_Press Key_WASD_Press,Fadiga,Lazer
Key_WASD_Press Key_Space_Press Key_WASD_Press Click_Press_left Key_WASD_Press Click_Press_right Key_AlphaNumeric_Press Click_Press_left Key_Space_Press Key_Space_Press Click_Press_right Click_Press_right Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_right Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Click_Press_left Key_Space_Press Key_WASD_Press Key_WASD_Press Key_AlphaNumeric_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_right Key_Space_Press Click_Press_left Key_WASD_Press Key_Space_Press Click_Press_right Click_Press_right Key_Space_Press Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Key_Space_Press Key_Space_Press Click_Press_right Click_Press_right Key_WASD_Press Click_Press_right Key_Space_Press Key_WASD_Press Key_WASD_Press Key_Space_Press Key_WASD_Press Key_WASD_Press Click_Press_right Key_Space_Press Click_Press_left Key_WASD_Press Click_Press_right Key_WASD_Press Click_Press_left Click_Press_left Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_Space_Press Key_Space_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_Space_Press Click_Press_left Key_WASD_Press Click_Press_left Key_AlphaNumeric_Press Key_WASD_Press Click_Press_right Click_Press_left Click_Press_left Click_Press_right Click_Press_right Click_Press_left Click_Press_right Key_WASD_Press Click_Press_right Click_Press_right Key_WASD_Press Click_Press_left Key_WASD_Press Key_AlphaNumeric_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_Space_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Click_Press_right Click_Press_right Key_Space_Press Key_WASD_Press Key_Space_Press Click_Press_left Click_Press_left Key_Space_Press Key_WASD_Press Click_Press_right Key_Space_Press Key_WASD_Press Click_Press_left Key_AlphaNumeric_Press Key_WASD_Press Click_Press_left Click_Press_right Click_Press_right Click_Press_right Key_Space_Press Key_WASD_Press Key_AlphaNumeric_Press Key_Space_Press Click_Press_right Key_Space_Press Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Click_Press_right Key_Space_Press Click_Press_left Click_Press_left Key_WASD_Press Click_Press_right Key_WASD_Press Click_Press_left Key_WASD_Press Click_Press_left Key_WASD_Press Key_Space_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_AlphaNumeric_Press Key_Space_Press Click_Press_left Key_Space_Press Key_WASD_Press Click_Press_right Click_Press_right Click_Press_right Key_Space_Press Click_Press_left Click_Press_left Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_AlphaNumeric_Press Click_Press_left Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Click_Press_right Click_Press_left Key_AlphaNumeric_Press Click_Press_right Key_WASD_Press Key_Space_Press Click_Press_right Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_right Key_WASD_Press Click_Press_left Click_Press_left Click_Press_right Key_WASD_Press Key_AlphaNumeric_Press Key_Space_Press Click_Press_right Key_Space_Press Key_WASD_Press Key_Space_Press Click_Press_right Click_Press_left Click_Press_left Key_Space_Press Key_Space_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_right Key_Space_Press Key_WASD_Press Key_Space_Press Key_Space_Press Key_WASD_Press Key_WASD_Press Key_Space_Press Key_WASD_Press Key_Space_Press Click_Press_right Click_Press_right Key_WASD_Press Key_Space_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_left Click_Press_left Key_WASD_Press Click_Press_left Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Key_Space_Press Key_WASD_Press Key_Space_Press Key_Space_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_WASD_Press Click_Press_left Key_WASD_Press Key_Space_Press Key_Space_Press Key_WASD_Press Click_Press_right Click_Press_left Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_right Key_WASD_Press Key_WASD_Press Key_AlphaNumeric_Press Key_WASD_Press Key_WASD_Press Key_WASD_Press Click_Press_right,Normal,Jogar
